Group,Filename,Structural_Phi,Order_Parameter_r,Invariant_Delta,Clinical_State
_archon_qia_output,archon_neuro_signature.csv,9.29e+00,29.7853,28.9353,CRITICAL_BREAKDOWN
_archon_qia_output,archon_global_timestamp_log.csv,5.36e+02,29.5635,28.7135,CRITICAL_BREAKDOWN
_archon_qia_output,archon_global_logic_log.csv,1.98e+03,7934.7022,7933.8522,CRITICAL_BREAKDOWN
_archon_qia_output,archon_global_signature.csv,1.46e+01,7859.5118,7858.6618,CRITICAL_BREAKDOWN
_archon_qia_output,archon_historical_full_analysis.csv,8.81e+01,21695.1165,21694.2665,CRITICAL_BREAKDOWN
_archon_qia_output,archon_historical_all_rows.csv,2.34e+03,0.0,0.85,DYNAMIC_FLOW
_archon_qia_output,ARCHON_SIES_full_pipeline.csv,nan,,,DYNAMIC_FLOW
_archon_qia_output,SIES_item_level.csv,2.34e+03,0.0,0.85,DYNAMIC_FLOW
_archon_qia_output,SIES_user_level.csv,7.73e+01,0.0118,0.8382,DYNAMIC_FLOW
_archon_qia_output,SIES_v3_notebook_level.csv,6.21e+02,0.001,0.849,DYNAMIC_FLOW
_archon_qia_output,NeuroCore_ARCHON_SIES_full_pipeline_EN.csv,nan,,,DYNAMIC_FLOW
CSV,windows_labeled_1227.csv,3.30e+03,0.0001,0.8499,DYNAMIC_FLOW
SARIMAX,results_rls_stata_1633.csv,nan,,,DYNAMIC_FLOW
SARIMAX,results_rls_stata.csv,nan,,,DYNAMIC_FLOW
SIMULATION_SMOOTHING,results_simulation_smoothing3_1014.csv,8.07e+00,6.0926,5.2426,CRITICAL_BREAKDOWN
SIMULATION_SMOOTHING,results_simulation_smoothing3_variates.csv,8.15e+02,0.2468,0.6032,DYNAMIC_FLOW
SIMULATION_SMOOTHING,results_simulation_smoothing3.csv,8.07e+00,6.0927,5.2427,CRITICAL_BREAKDOWN
SIMULATION_SMOOTHING,results_simulation_smoothing4.csv,8.06e+01,0.4674,0.3826,DYNAMIC_FLOW
SIMULATION_SMOOTHING,results_simulation_smoothing5.csv,8.11e+00,5.7463,4.8963,CRITICAL_BREAKDOWN
SIMULATION_SMOOTHING,results_smoothing_R_814.csv,7.74e+02,0.0022,0.8478,DYNAMIC_FLOW
SIMULATION_SMOOTHING,results_smoothing_R.csv,7.74e+02,0.0022,0.8478,DYNAMIC_FLOW
SIMULATION_SMOOTHING,results_smoothing2_R.csv,4.14e+01,510.6295,509.7795,CRITICAL_BREAKDOWN
SIMULATION_SMOOTHING,results_smoothing3_R_1064.csv,8.77e+01,0.2033,0.6467,DYNAMIC_FLOW
SIMULATION_SMOOTHING,results_smoothing3_R.csv,8.77e+01,0.2033,0.6467,DYNAMIC_FLOW
SIMULATION_SMOOTHING,results_kcde_1114.csv,5.67e+00,0.1731,0.6769,DYNAMIC_FLOW
SIMULATION_SMOOTHING,results_kcde.csv,5.67e+00,0.1731,0.6769,DYNAMIC_FLOW
SIMULATION_SMOOTHING,lme02_1175.csv,6.86e+01,0.0101,0.8399,DYNAMIC_FLOW
SIMULATION_SMOOTHING,lme11.csv,6.86e+01,0.0101,0.8399,DYNAMIC_FLOW
SIMULATION_SMOOTHING,results_simulation_smoothing6.csv,7.90e+00,6.9359,6.0859,CRITICAL_BREAKDOWN
