Cartella,File,Phi_Value,Kuramoto_r,Delta_Invariante,Inferred_State
_archon_qia_output,archon_neuro_signature.csv,9.29e+00,30.4761,29.6261,FASE CRITICA (Rischio Collasso)
_archon_qia_output,archon_global_timestamp_log.csv,5.36e+02,30.6775,29.8275,FASE CRITICA (Rischio Collasso)
_archon_qia_output,archon_global_logic_log.csv,1.98e+03,7841.4633,7840.6133,FASE CRITICA (Rischio Collasso)
_archon_qia_output,archon_global_signature.csv,1.46e+01,7881.8665,7881.0165,FASE CRITICA (Rischio Collasso)
_archon_qia_output,archon_historical_full_analysis.csv,8.81e+01,21356.9975,21356.1475,FASE CRITICA (Rischio Collasso)
_archon_qia_output,archon_historical_all_rows.csv,2.34e+03,0.0,0.85,FLUSSO DINAMICO (Healthy)
_archon_qia_output,ARCHON_SIES_full_pipeline.csv,nan,,,FLUSSO DINAMICO (Healthy)
_archon_qia_output,SIES_item_level.csv,2.34e+03,0.0,0.85,FLUSSO DINAMICO (Healthy)
_archon_qia_output,SIES_user_level.csv,7.73e+01,0.0118,0.8382,FLUSSO DINAMICO (Healthy)
_archon_qia_output,SIES_v3_notebook_level.csv,6.21e+02,0.001,0.849,FLUSSO DINAMICO (Healthy)
_archon_qia_output,NeuroCore_ARCHON_SIES_full_pipeline_EN.csv,nan,,,FLUSSO DINAMICO (Healthy)
CSV,windows_labeled_1227.csv,3.30e+03,0.0001,0.8499,FLUSSO DINAMICO (Healthy)
SARIMAX,results_rls_stata_1633.csv,nan,,,FLUSSO DINAMICO (Healthy)
SARIMAX,results_rls_stata.csv,nan,,,FLUSSO DINAMICO (Healthy)
SIMULATION_SMOOTHING,results_simulation_smoothing3_1014.csv,8.07e+00,6.0925,5.2425,FASE CRITICA (Rischio Collasso)
SIMULATION_SMOOTHING,results_simulation_smoothing3_variates.csv,8.15e+02,0.2468,0.6032,FLUSSO DINAMICO (Healthy)
SIMULATION_SMOOTHING,results_simulation_smoothing3.csv,8.07e+00,6.0925,5.2425,FASE CRITICA (Rischio Collasso)
SIMULATION_SMOOTHING,results_simulation_smoothing4.csv,8.06e+01,0.4674,0.3826,FLUSSO DINAMICO (Healthy)
SIMULATION_SMOOTHING,results_simulation_smoothing5.csv,8.11e+00,5.7464,4.8964,FASE CRITICA (Rischio Collasso)
SIMULATION_SMOOTHING,results_smoothing_R_814.csv,7.74e+02,0.0022,0.8478,FLUSSO DINAMICO (Healthy)
SIMULATION_SMOOTHING,results_smoothing_R.csv,7.74e+02,0.0022,0.8478,FLUSSO DINAMICO (Healthy)
SIMULATION_SMOOTHING,results_smoothing2_R.csv,4.14e+01,457.8311,456.9811,FASE CRITICA (Rischio Collasso)
SIMULATION_SMOOTHING,results_smoothing3_R_1064.csv,8.77e+01,0.2033,0.6467,FLUSSO DINAMICO (Healthy)
SIMULATION_SMOOTHING,results_smoothing3_R.csv,8.77e+01,0.2033,0.6467,FLUSSO DINAMICO (Healthy)
SIMULATION_SMOOTHING,results_kcde_1114.csv,5.67e+00,0.1731,0.6769,FLUSSO DINAMICO (Healthy)
SIMULATION_SMOOTHING,results_kcde.csv,5.67e+00,0.1731,0.6769,FLUSSO DINAMICO (Healthy)
SIMULATION_SMOOTHING,lme02_1175.csv,6.86e+01,0.0101,0.8399,FLUSSO DINAMICO (Healthy)
SIMULATION_SMOOTHING,lme11.csv,6.86e+01,0.0101,0.8399,FLUSSO DINAMICO (Healthy)
SIMULATION_SMOOTHING,results_simulation_smoothing6.csv,7.90e+00,6.9357,6.0857,FASE CRITICA (Rischio Collasso)
SIMULATION_SMOOTHING,results_smoothing_generalobscov_R.csv,4.26e+01,322.2881,321.4381,FASE CRITICA (Rischio Collasso)
SIMULATION_SMOOTHING,results_simulation_smoothing3_variates_1393.csv,8.15e+02,0.2468,0.6032,FLUSSO DINAMICO (Healthy)
SIMULATION_SMOOTHING,results_simulation_smoothing4_1401.csv,8.06e+01,0.4674,0.3826,FLUSSO DINAMICO (Healthy)
SIMULATION_SMOOTHING,results_simulation_smoothing6_1521.csv,7.90e+00,6.9354,6.0854,FASE CRITICA (Rischio Collasso)
SIMULATION_SMOOTHING,results_smoothing_generalobscov_R_1484.csv,4.26e+01,339.5269,338.6769,FASE CRITICA (Rischio Collasso)
SIMULATION_SMOOTHING,results_smoothing2_R_1488.csv,4.14e+01,473.7557,472.9057,FASE CRITICA (Rischio Collasso)
SIMULATION_SMOOTHING,results_tweedie_aweights_nonrobust_1667.csv,4.16e+03,1.2256,0.3756,FASE CRITICA (Rischio Collasso)
QC_REPORTS,master_edf_scan.csv,nan,,,FLUSSO DINAMICO (Healthy)
QC_REPORTS,master_ok.csv,4.65e+03,0.0002,0.8498,FLUSSO DINAMICO (Healthy)
REPORTS,_parkinson_report_585.csv,nan,,,FLUSSO DINAMICO (Healthy)
REPORTS,_parkinson_report_610.csv,nan,,,FLUSSO DINAMICO (Healthy)
REPORTS,_parkinson_report_972.csv,nan,,,FLUSSO DINAMICO (Healthy)
REPORTS,_parkinson_report.csv,nan,,,FLUSSO DINAMICO (Healthy)
REPORTS,batch_summary_final.csv,1.06e+02,119.7289,118.8789,FASE CRITICA (Rischio Collasso)
REPORTS,stl_test_results.csv,1.72e+03,0.0029,0.8471,FLUSSO DINAMICO (Healthy)
REPORTS,_parkinson_report_1071.csv,nan,,,FLUSSO DINAMICO (Healthy)
REPORTS,_parkinson_report_1609.csv,nan,,,FLUSSO DINAMICO (Healthy)
MODEL_FORECATS,arima111_forecasts.csv,nan,,,FLUSSO DINAMICO (Healthy)
MODEL_FORECATS,autos_exog.csv,2.08e+01,2952.4739,2951.6239,FASE CRITICA (Rischio Collasso)
MODEL_FORECATS,autos_predict_143.csv,1.41e+02,0.0049,0.8451,FLUSSO DINAMICO (Healthy)
MODEL_FORECATS,autos_predict.csv,1.41e+02,0.0049,0.8451,FLUSSO DINAMICO (Healthy)
MODEL_FORECATS,autos.csv,nan,,,FLUSSO DINAMICO (Healthy)
MODEL_FORECATS,results_ar_forecast_mle_dynamic_148.csv,2.31e+02,0.003,0.847,FLUSSO DINAMICO (Healthy)
MODEL_FORECATS,results_ar_forecast_mle_dynamic.csv,2.31e+02,0.003,0.847,FLUSSO DINAMICO (Healthy)
MODEL_FORECATS,results_arima_exog_forecasts_css.csv,nan,,,FLUSSO DINAMICO (Healthy)
MODEL_FORECATS,results_arima_exog_forecasts_mle.csv,8.60e+01,0.008,0.842,FLUSSO DINAMICO (Healthy)
MODEL_FORECATS,results_arima_forecasts_all_css_689.csv,nan,,,FLUSSO DINAMICO (Healthy)
MODEL_FORECATS,results_arima_forecasts_all_css_diff.csv,1.57e+02,0.0044,0.8456,FLUSSO DINAMICO (Healthy)
MODEL_FORECATS,results_arima_forecasts_all_css.csv,nan,,,FLUSSO DINAMICO (Healthy)
MODEL_FORECATS,results_arima_forecasts_all_mle_986.csv,nan,,,FLUSSO DINAMICO (Healthy)
MODEL_FORECATS,results_arima_forecasts_all_mle_diff.csv,1.57e+02,0.0044,0.8456,FLUSSO DINAMICO (Healthy)
MODEL_FORECATS,results_arima_forecasts_all_mle.csv,nan,,,FLUSSO DINAMICO (Healthy)
MODEL_FORECATS,results_rls_R_929.csv,1.29e+02,0.0385,0.8115,FLUSSO DINAMICO (Healthy)
MODEL_FORECATS,results_rls_R.csv,1.29e+02,0.0385,0.8115,FLUSSO DINAMICO (Healthy)
MODEL_FORECATS,transition_early_warning_series_490.csv,5.75e+01,10.3796,9.5296,FASE CRITICA (Rischio Collasso)
MODEL_FORECATS,transition_early_warning_series.csv,5.75e+01,10.478,9.628,FASE CRITICA (Rischio Collasso)
MODEL_FORECATS,chb_earlywarning_metrics_1243.csv,5.54e+03,0.0001,0.8499,FLUSSO DINAMICO (Healthy)
MODEL_FORECATS,chb_preictal_baseline_ready_1225.csv,nan,,,FLUSSO DINAMICO (Healthy)
MODEL_FORECATS,resids_exact_c.csv,1.84e+02,0.2039,0.6461,FLUSSO DINAMICO (Healthy)
MODEL_FORECATS,results_arima_exog_forecasts_mle_1130.csv,8.60e+01,0.008,0.842,FLUSSO DINAMICO (Healthy)
MODEL_FORECATS,results_arima_forecasts_all_mle_diff_1090.csv,1.57e+02,0.0044,0.8456,FLUSSO DINAMICO (Healthy)
MODEL_FORECATS,resids_css_c_1193.csv,nan,,,FLUSSO DINAMICO (Healthy)
MODEL_FORECATS,resids_exact_c_1226.csv,1.84e+02,0.2039,0.6461,FLUSSO DINAMICO (Healthy)
MODEL_FORECATS,results_intercepts_R_1237.csv,7.74e+02,0.0023,0.8477,FLUSSO DINAMICO (Healthy)
MODEL_FORECATS,arima212_forecast.csv,nan,,,FLUSSO DINAMICO (Healthy)
MODEL_FORECATS,results_arima_forecasts_all_css_diff_1244.csv,1.57e+02,0.0044,0.8456,FLUSSO DINAMICO (Healthy)
MODEL_FORECATS,results_varmax_stata_1354.csv,nan,,,FLUSSO DINAMICO (Healthy)
MODEL_FORECATS,arima111_forecasts_1687.csv,nan,,,FLUSSO DINAMICO (Healthy)
MODEL_FORECATS,arima212_forecast_1664.csv,nan,,,FLUSSO DINAMICO (Healthy)
MODEL_FORECATS,results_clark1989_R_1577.csv,2.22e+01,1.9319,1.0819,FASE CRITICA (Rischio Collasso)
MODEL_FORECATS,results_arima_exog_forecasts_css_1520.csv,nan,,,FLUSSO DINAMICO (Healthy)
MODEL_FORECATS,results_clark1989_R.csv,2.22e+01,1.9301,1.0801,FASE CRITICA (Rischio Collasso)
MODEL_FORECATS,sunspots_1450.csv,2.13e+02,0.0032,0.8468,FLUSSO DINAMICO (Healthy)
MODEL_FORECATS,stl_co2_1478.csv,2.34e+02,0.028,0.822,FLUSSO DINAMICO (Healthy)
MODEL_FORECATS,stl_test_results_1506.csv,1.72e+03,0.0029,0.8471,FLUSSO DINAMICO (Healthy)
MODEL_FORECATS,results_simulation_smoothing5_1697.csv,8.11e+00,5.7465,4.8965,FASE CRITICA (Rischio Collasso)
VAR&VARMAX,results_varmax_stata.csv,nan,,,FLUSSO DINAMICO (Healthy)
